SBA Disaster Loan Data,,,,,,,Report Run Date:  12/1/2017 ,,,,,,
,,,,,,,Report Run Time:   3:09:56PM,,,,,,
Reporting Period:  10/01/2016 - 09/30/2017,,,,,,,,,,,,,
Declaration Type(s):  'ALL',,,,,,,,,,,,,
SBA Physical Declaration Number,SBA EIDL Declaration Number,FEMA Disaster Number,SBA Disaster Number,Damaged Property City Name,Damaged Property Zip Code,Damaged Property County/Parish Name,Damaged Property State Code,Total Verified Loss,Verified Loss Real Estate,Verified Loss Content,Total Approved Loan Amount,Approved Amount Real Estate,Approved Amount Content
14911,14912,4285,NC-00081,FALCON,28342,CUMBERLAND,NC,"73,285.00","73,285.00",0.00,"43,600.00","43,600.00",0.00
14911,14912,4285,NC-00081,FARMVILLE,27828,PITT,NC,"54,265.00","54,265.00",0.00,"51,100.00","51,100.00",0.00
14911,14912,4285,NC-00081,FAYETTEVILLE,28301,CUMBERLAND,NC,"1,906,693.00","1,233,930.00","672,763.00","1,153,200.00","806,700.00","346,500.00"
14911,14912,4285,NC-00081,FAYETTEVILLE,28302,CUMBERLAND,NC,"10,000.00",0.00,"10,000.00",0.00,0.00,0.00
14911,14912,4285,NC-00081,FAYETTEVILLE,28303,CUMBERLAND,NC,"1,358,812.00","1,123,053.00","235,759.00","705,100.00","602,800.00","102,300.00"
14911,14912,4285,NC-00081,FAYETTEVILLE,28304,CUMBERLAND,NC,"3,118,387.00","2,189,347.00","929,040.00","1,618,900.00","1,180,200.00","438,700.00"
14911,14912,4285,NC-00081,FAYETTEVILLE,28304,HOKE,NC,"32,480.00","29,130.00","3,350.00",0.00,0.00,0.00
14911,14912,4285,NC-00081,FAYETTEVILLE,28305,CUMBERLAND,NC,"329,713.00","221,068.00","108,645.00","261,300.00","200,300.00","61,000.00"
14911,14912,4285,NC-00081,FAYETTEVILLE,28306,BLADEN,NC,"13,435.00","13,435.00",0.00,"13,400.00","13,400.00",0.00
14911,14912,4285,NC-00081,FAYETTEVILLE,28306,CUMBERLAND,NC,"4,969,474.00","3,386,929.00","1,582,545.00","2,661,800.00","2,053,300.00","608,500.00"
14911,14912,4285,NC-00081,FAYETTEVILLE,28311,CUMBERLAND,NC,"888,504.00","740,559.00","147,945.00","530,100.00","437,100.00","93,000.00"
14911,14912,4285,NC-00081,FAYETTEVILLE,28312,BLADEN,NC,"22,007.00","19,257.00","2,750.00","22,100.00","19,300.00","2,800.00"
14911,14912,4285,NC-00081,FAYETTEVILLE,28312,CUMBERLAND,NC,"2,255,029.00","1,423,879.00","831,150.00","903,000.00","495,400.00","341,400.00"
