Zip Code,Location,City,Avg. Income/H/hold
33018,"25.924998, -80.393858","Hialeah, Florida","$45,159.00"
33436,"26.522294, -80.117683","Boynton Beach, Florida","$45,047.00"
34679,"28.432204, -82.661230","Aripeka, Florida","$45,039.00"
34209,"27.494463, -82.639384","Bradenton, Florida","$45,036.00"
34104,"26.150484, -81.740774","Naples, Florida","$45,032.00"
33154,"25.883362, -80.129957","Miami Beach, Florida","$45,016.00"
32566,"30.490740, -86.873373","Navarre, Florida","$44,982.00"
33143,"25.702492, -80.298600","Miami, Florida","$44,976.00"
34744,"28.298105, -81.345100","Kissimmee, Florida","$44,938.00"
32072,"30.227234, -82.437159","Olustee, Florida","$44,844.00"
32776,"28.820070, -81.508965","Sorrento, Florida","$44,820.00"
33134,"25.753332, -80.270379","Miami, Florida","$44,741.00"
34984,"27.269782, -80.344547","Port Saint Lucie, Florida","$44,702.00"
32357,"30.277889, -83.613192","Shady Grove, Florida","$44,688.00"
33183,"25.700594, -80.405713","Miami, Florida","$44,623.00"
33037,"25.255662, -80.324868","Key Largo, Florida","$44,621.00"
32812,"28.486974, -81.328186","Orlando, Florida","$44,566.00"
32804,"28.578680, -81.396447","Orlando, Florida","$44,455.00"
33351,"26.180135, -80.275092","Fort Lauderdale, Florida","$44,409.00"
33155,"25.737887, -80.311201","Miami, Florida","$44,400.00"
34760,"28.554138, -81.632024","Oakland, Florida","$44,375.00"
33811,"27.980682, -82.014787","Lakeland, Florida","$44,274.00"
33133,"25.730829, -80.242600","Miami, Florida","$44,251.00"
32533,"30.610506, -87.326783","Cantonment, Florida","$44,191.00"
32714,"28.662559, -81.411756","Altamonte Springs, Florida","$44,130.00"
32615,"29.819927, -82.496776","Alachua, Florida","$44,038.00"
33848,"28.262842, -81.505836","Intercession City, Florida","$43,988.00"
33983,"27.005904, -82.013370","Punta Gorda, Florida","$43,964.00"
33971,"26.607726, -81.705349","Lehigh Acres, Florida","$43,961.00"
34232,"27.324845, -82.471887","Sarasota, Florida","$43,931.00"
33972,"26.634439, -81.593920","Lehigh Acres, Florida","$43,920.00"
32043,"29.924811, -81.740571","Green Cove Springs, Florida","$43,914.00"
33584,"28.007232, -82.288403","Seffner, Florida","$43,905.00"
32775,"28.772300, -80.865185","Scottsmoor, Florida","$43,897.00"
32806,"28.511866, -81.361379","Orlando, Florida","$43,883.00"
34116,"26.189294, -81.710803","Naples, Florida","$43,805.00"
32011,"30.573586, -81.838475","Callahan, Florida","$43,799.00"
32927,"28.463191, -80.812383","Cocoa, Florida","$43,783.00"
34471,"29.165659, -82.098008","Ocala, Florida","$43,725.00"
33166,"25.827855, -80.316183","Miami, Florida","$43,684.00"
33015,"25.940565, -80.318180","Hialeah, Florida","$43,677.00"
32246,"30.293025, -81.517159","Jacksonville, Florida","$43,672.00"
32222,"30.216764, -81.828342","Jacksonville, Florida","$43,641.00"
34113,"26.043649, -81.732424","Naples, Florida","$43,630.00"
32569,"30.411097, -86.724735","Mary Esther, Florida","$43,442.00"
34953,"27.250315, -80.380500","Port Saint Lucie, Florida","$43,270.00"
34275,"27.151717, -82.429943","Nokomis, Florida","$43,263.00"
32571,"30.673114, -87.190896","Milton, Florida","$43,231.00"
33065,"26.273202, -80.262668","Pompano Beach, Florida","$43,178.00"
32931,"28.326132, -80.623782","Cocoa Beach, Florida","$43,100.00"
33634,"28.009820, -82.547780","Tampa, Florida","$43,084.00"
33919,"26.553863, -81.901117","Fort Myers, Florida","$43,027.00"
34997,"27.100818, -80.228416","Stuart, Florida","$42,973.00"
33024,"26.027261, -80.244710","Hollywood, Florida","$42,934.00"
32707,"28.657532, -81.313573","Casselberry, Florida","$42,831.00"
32713,"28.902604, -81.324738","Debary, Florida","$42,830.00"
32221,"30.271143, -81.844346","Jacksonville, Florida","$42,816.00"
33920,"26.727775, -81.619123","Alva, Florida","$42,806.00"
33445,"26.455288, -80.106350","Delray Beach, Florida","$42,653.00"
32818,"28.586001, -81.488602","Orlando, Florida","$42,596.00"
32667,"29.489052, -82.294687","Micanopy, Florida","$42,566.00"
33909,"26.688187, -81.949603","Cape Coral, Florida","$42,541.00"
33777,"27.855280, -82.758054","Seminole, Florida","$42,500.00"
33406,"26.664085, -80.092385","West Palm Beach, Florida","$42,497.00"
33809,"28.222746, -81.969167","Lakeland, Florida","$42,443.00"
32953,"28.456576, -80.688016","Merritt Island, Florida","$42,424.00"
33070,"25.031746, -80.494625","Tavernier, Florida","$42,405.00"
33043,"24.705718, -81.355515","Big Pine Key, Florida","$42,384.00"
33062,"26.242667, -80.098250","Pompano Beach, Florida","$42,382.00"
33567,"27.940973, -82.141050","Plant City, Florida","$42,375.00"
